School Name,Rank in America,District,School Grade Level,Rating,User Reviews,Overall Niche Grade,School Strength,Student Teacher Ratio,Extracted Date
Burleson High School,"#6,246 Best Public High Schools in America","Burleson Independent School District, TX",9-12,4.0,199,B,"1,627",16:1,2019-03-14 09:09:07.791559
Lawrence Elementary School,"#19,493 Best Public Elementary Schools in America","Mesquite Independent School District, TX","PK, K-6",3.0,1,B,403,12:1,2019-03-14 09:09:07.791566
Roosevelt Elementary School,"#19,495 Best Public Elementary Schools in America","Roosevelt Independent School District, TX","PK, K-5",nan,nan,B,528,14:1,2019-03-14 09:09:07.791573
Seven Hills Elementary School,"#19,499 Best Public Elementary Schools in America","Northwest Independent School District, TX","PK, K-5",nan,nan,B,533,14:1,2019-03-14 09:09:07.791580
Wilson Elementary School,"#19,504 Best Public Elementary Schools in America","Harlingen Consolidated Independent School District, TX","PK, K-5",nan,nan,B,484,16:1,2019-03-14 09:09:07.791586
Pope Elementary School,"#19,522 Best Public Elementary Schools in America","Arlington Independent School District, TX","PK, K-6",nan,nan,B,625,18:1,2019-03-14 09:09:07.791593
San Isidro Elementary School,"#19,526 Best Public Elementary Schools in America","San Isidro Independent School District, TX","PK, K-8",nan,nan,B,164,12:1,2019-03-14 09:09:07.791600
Mercedes Early College Academy,"#6,264 Best Public High Schools in America","Mercedes Independent School District, TX",9-12,4.0,105,B,328,17:1,2019-03-14 09:09:07.791607
Arp Junior High School,"#7,445 Best Public Middle Schools in America","Arp Independent School District, TX",6-8,nan,nan,B,179,11:1,2019-03-14 09:09:07.791627
Hedrick Middle School,"#7,454 Best Public Middle Schools in America","Lewisville Independent School District, TX",6-8,5.0,1,B,717,12:1,2019-03-14 09:09:07.791635
Borger Intermediate School,"#19,555 Best Public Elementary Schools in America","Borger Independent School District, TX",nan,nan,nan,B,201,14:1,2019-03-14 09:09:07.791642
Arrow Academy - Liberation Academy,"#19,580 Best Public Elementary Schools in America","Arrow Academy, TX",K-5,5.0,1,B,150,13:1,2019-03-14 09:09:07.791649
Marshall Durham Middle School,"#7,465 Best Public Middle Schools in America","Lewisville Independent School District, TX",6-8,nan,nan,B,813,13:1,2019-03-14 09:09:07.791655
Clendenin Elementary School,"#19,594 Best Public Elementary Schools in America","El Paso Independent School District, TX","PK, K-5",nan,nan,B,485,15:1,2019-03-14 09:09:07.791662
Wills Elementary School,"#19,596 Best Public Elementary Schools in America","Amarillo Independent School District, TX","PK, K-5",nan,nan,B,584,16:1,2019-03-14 09:09:07.791669
Yantis Elementary School,"#19,599 Best Public Elementary Schools in America","Yantis Independent School District, TX","PK, K-5",nan,nan,B,213,11:1,2019-03-14 09:09:07.791676
Chisum High School,"#6,288 Best Public High Schools in America","Chisum Independent School District, TX",9-12,4.0,21,B,284,11:1,2019-03-14 09:09:07.791683
Gerard Elementary School,"#19,615 Best Public Elementary Schools in America","Cleburne Independent School District, TX","PK, K-5",nan,nan,B,554,17:1,2019-03-14 09:09:07.791690
Quanah High School,"#6,297 Best Public High Schools in America","Quanah Independent School District, TX",9-12,3.5,16,B,151,8:1,2019-03-14 09:09:07.791697
Dawson Elementary School,"#19,620 Best Public Elementary Schools in America","Austin Independent School District, TX","PK, K-5",5.0,1,B,382,12:1,2019-03-14 09:09:07.791704
Alief Montessori Community School,"#19,630 Best Public Elementary Schools in America","Houston, TX","PK, K-5",nan,nan,B,294,28:1,2019-03-14 09:09:07.791711
Hutto High School,"#6,303 Best Public High Schools in America","Hutto Independent School District, TX",9-12,3.5,244,B,"1,775",17:1,2019-03-14 09:09:07.791718
Reagan Elementary School,"#19,633 Best Public Elementary Schools in America","Abilene Independent School District, TX",K-5,nan,nan,B,449,17:1,2019-03-14 09:09:07.791725
Nocona Elementary School,"#19,638 Best Public Elementary Schools in America","Nocona Independent School District, TX","PK, K-5",nan,nan,B,382,13:1,2019-03-14 09:09:07.791732
Waller Junior High School,"#7,490 Best Public Middle Schools in America","Waller Independent School District, TX",6-8,3.0,10,B,682,17:1,2019-03-14 09:09:07.791740
Gorman Middle School,"#7,493 Best Public Middle Schools in America","Gorman Independent School District, TX",6-8,nan,nan,B,58,12:1,2019-03-14 09:09:07.791748
Crockett Elementary School,"#19,663 Best Public Elementary Schools in America","Weatherford Independent School District, TX","PK, K-6",nan,nan,B,525,14:1,2019-03-14 09:09:07.791755
Bells High School,"#6,321 Best Public High Schools in America","Bells Independent School District, TX",9-12,4.0,80,B,223,10:1,2019-03-14 09:09:07.791763
Teague High School,"#6,323 Best Public High Schools in America","Teague Independent School District, TX",9-12,4.0,37,B,415,12:1,2019-03-14 09:09:07.791770
La Gloria Elementary School,"#19,673 Best Public Elementary Schools in America","Falfurrias, TX","PK, K-6",nan,nan,B,118,16:1,2019-03-14 09:09:07.791778
Hawley Middle School,"#7,513 Best Public Middle Schools in America","Hawley Independent School District, TX",6-8,nan,nan,B,180,10:1,2019-03-14 09:09:07.791785
Lufkin Middle School,"#7,519 Best Public Middle Schools in America","Lufkin Independent School District, TX",6-10,4.0,1,B,"1,694",14:1,2019-03-14 09:09:07.791793
West Rusk Middle School,"#7,520 Best Public Middle Schools in America","West Rusk County Consolidated Independent School District, TX",6-8,nan,nan,B,240,13:1,2019-03-14 09:09:07.791800
Newman Elementary School,"#19,689 Best Public Elementary Schools in America","El Paso Independent School District, TX","PK, K-5",nan,nan,B,557,16:1,2019-03-14 09:09:07.791807
Central Heights High School,"#6,338 Best Public High Schools in America","Central Heights Independent School District, TX",9-12,3.5,60,B,331,13:1,2019-03-14 09:09:07.791815
J.B. Stephens Elementary School,"#19,693 Best Public Elementary Schools in America","Bangs Independent School District, TX","PK, K-4",5.0,2,B,365,14:1,2019-03-14 09:09:07.791822
Covington Middle School,"#7,527 Best Public Middle Schools in America","Austin Independent School District, TX",6-8,5.0,1,B,641,12:1,2019-03-14 09:09:07.791829
Jack M. Fields Sr. Elementary School,"#19,704 Best Public Elementary Schools in America","Humble Independent School District, TX","PK, K-5",nan,nan,B,606,14:1,2019-03-14 09:09:07.791836
Grape Creek High School,"#6,349 Best Public High Schools in America","Grape Creek Independent School District, TX",9-12,4.0,78,B,325,11:1,2019-03-14 09:09:07.791845
Robert E. Lee High School,"#6,353 Best Public High Schools in America","Tyler Independent School District, TX",9-12,3.5,292,B,"2,569",15:1,2019-03-14 09:09:07.791851
Brenham Junior High School,"#7,537 Best Public Middle Schools in America","Brenham Independent School District, TX",7-8,nan,nan,B,716,12:1,2019-03-14 09:09:07.791859
Mark Twain Elementary School,"#19,735 Best Public Elementary Schools in America","Richardson Independent School District, TX","PK, K-6",nan,nan,B,513,16:1,2019-03-14 09:09:07.791865
Angleton Junior High School,"#7,539 Best Public Middle Schools in America","Angleton Independent School District, TX",6-10,nan,nan,B,"1,490",17:1,2019-03-14 09:09:07.791872
Johnston-McQueen Elementary School,"#19,748 Best Public Elementary Schools in America","Longview Independent School District, TX","PK, K-5",nan,nan,B,742,16:1,2019-03-14 09:09:07.791880
Mary Hull Elementary School,"#19,750 Best Public Elementary Schools in America","Northside Independent School District (San Antonio), TX","PK, K-5",nan,nan,B,639,14:1,2019-03-14 09:09:07.791887
Lamar Elementary School,"#19,752 Best Public Elementary Schools in America","Denison Independent School District, TX","PK, K-4",nan,nan,B,480,17:1,2019-03-14 09:09:07.791894
T.H. Johnson Elementary School,"#19,757 Best Public Elementary Schools in America","Taylor Independent School District, TX",4-5,nan,nan,B,436,15:1,2019-03-14 09:09:07.791901
Benjamin School,"#6,368 Best Public High Schools in America","Benjamin Independent School District, TX","PK, K-12",5.0,5,B,86,7:1,2019-03-14 09:09:07.791908
Dr. Antonio Banuelos Elementary School,"#19,760 Best Public Elementary Schools in America","Goose Creek Consolidated Independent School District, TX","PK, K-5",nan,nan,B,772,17:1,2019-03-14 09:09:07.791916
Lamar Elementary School,"#19,763 Best Public Elementary Schools in America","San Angelo Independent School District, TX",K-5,nan,nan,B,592,18:1,2019-03-14 09:09:07.791924
Coupland Elementary School,"#19,778 Best Public Elementary Schools in America","Coupland, TX",K-8,nan,nan,B,150,13:1,2019-03-14 09:09:07.791931
Ricardo Salinas Elementary School,"#19,784 Best Public Elementary Schools in America","Judson Independent School District, TX","PK, K-5",5.0,1,B,632,19:1,2019-03-14 09:09:07.791939
Harker Heights Elementary School,"#19,792 Best Public Elementary Schools in America","Killeen Independent School District, TX","PK, K-5",nan,nan,B,718,14:1,2019-03-14 09:09:07.791946
McDougle Elementary School,"#19,793 Best Public Elementary Schools in America","Klein Independent School District, TX",K-5,nan,nan,B,674,11:1,2019-03-14 09:09:07.791954
Newcastle School,"#6,382 Best Public High Schools in America","Newcastle Independent School District, TX","PK, K-12",4.5,19,B,229,12:1,2019-03-14 09:09:07.791961
IDEA Quest Academy,"#19,815 Best Public Elementary Schools in America","Edinburg, TX",K-5,3.0,21,B,697,32:1,2019-03-14 09:09:07.791968
Castaneda Elementary School,"#19,824 Best Public Elementary Schools in America","McAllen Independent School District, TX","PK, K-5",nan,nan,B,560,17:1,2019-03-14 09:09:07.791975
Forest Hill Elementary School,"#19,837 Best Public Elementary Schools in America","Amarillo Independent School District, TX","PK, K-5",nan,nan,B,584,15:1,2019-03-14 09:09:07.791997
Edinburg North High School,"#6,405 Best Public High Schools in America","Edinburg Consolidated Independent School District, TX",9-12,4.0,312,B,"2,777",15:1,2019-03-14 09:09:07.792005
Memorial High School,"#6,408 Best Public High Schools in America","McAllen Independent School District, TX",9-12,4.0,282,B,"2,302",16:1,2019-03-14 09:09:07.792012
Humble Elementary School,"#19,870 Best Public Elementary Schools in America","Humble Independent School District, TX","PK, K-5",nan,nan,B,573,14:1,2019-03-14 09:09:07.792019
Eastland Middle School,"#7,597 Best Public Middle Schools in America","Eastland Independent School District, TX",6-8,nan,nan,B,273,13:1,2019-03-14 09:09:07.792026
Dean Middle School,"#7,598 Best Public Middle Schools in America","Cypress-Fairbanks Independent School District, TX",6-8,3.0,4,B,"1,527",16:1,2019-03-14 09:09:07.792033
Alto Middle School,"#7,602 Best Public Middle Schools in America","Alto Independent School District, TX",5-8,2.0,1,B,183,10:1,2019-03-14 09:09:07.792040
J.L. Lyon Elementary School,"#19,898 Best Public Elementary Schools in America","Magnolia Independent School District, TX","PK, K-5",nan,nan,B,843,17:1,2019-03-14 09:09:07.792047
Rusk Junior High School,"#7,607 Best Public Middle Schools in America","Rusk Independent School District, TX",6-8,nan,nan,B,504,14:1,2019-03-14 09:09:07.792054
Coronado Village Elementary School,"#19,899 Best Public Elementary Schools in America","Judson Independent School District, TX","PK, K-5",3.0,1,B,415,15:1,2019-03-14 09:09:07.792061
Wolfe City High School,"#6,420 Best Public High Schools in America","Wolfe City Independent School District, TX",9-12,3.5,37,B,191,12:1,2019-03-14 09:09:07.792067
Sam Houston Elementary School,"#19,909 Best Public Elementary Schools in America","Dallas Independent School District, TX","PK, K-5",nan,nan,B,202,10:1,2019-03-14 09:09:07.792074
League City Elementary School,"#19,914 Best Public Elementary Schools in America","Clear Creek Independent School District, TX","PK, K-5",nan,nan,B,587,16:1,2019-03-14 09:09:07.792081
Bremond Middle School,"#7,613 Best Public Middle Schools in America","Bremond Independent School District, TX",6-8,nan,nan,B,99,9:1,2019-03-14 09:09:07.792087
Orange Grove High School,"#6,425 Best Public High Schools in America","Orange Grove Independent School District, TX",9-12,3.5,61,B,564,14:1,2019-03-14 09:09:07.792142
Trimble Technical High School,"#6,426 Best Public High Schools in America","Fort Worth Independent School District, TX",9-12,4.0,522,B,"1,784",16:1,2019-03-14 09:09:07.792149
Idea College Prep Weslaco,"#7,621 Best Public Middle Schools in America","Weslaco, TX",6-10,4.5,24,B,594,21:1,2019-03-14 09:09:07.792157
Albany Junior/Senior High School,"#6,434 Best Public High Schools in America","Albany Independent School District, TX",7-12,4.0,32,B,223,10:1,2019-03-14 09:09:07.792164
Lamar Elementary School,"#19,944 Best Public Elementary Schools in America","Goose Creek Consolidated Independent School District, TX","PK, K-5",nan,nan,B,785,16:1,2019-03-14 09:09:07.792172
Townley Elementary School,"#19,949 Best Public Elementary Schools in America","Irving Independent School District, TX",K-5,5.0,1,B,721,16:1,2019-03-14 09:09:07.792179
Beckville Junior/Senior High School,"#6,443 Best Public High Schools in America","Beckville Independent School District, TX",6-12,3.5,46,B,373,10:1,2019-03-14 09:09:07.792186
Benbrook Elementary School,"#19,955 Best Public Elementary Schools in America","Fort Worth Independent School District, TX","PK, K-5",nan,nan,B,594,18:1,2019-03-14 09:09:07.792193
Crosstimbers Academy,"#6,447 Best Public High Schools in America","Weatherford, TX",9-12,5.0,1,B,98,14:1,2019-03-14 09:09:07.792200
Vanguard Mozart Elementary,"#19,965 Best Public Elementary Schools in America","Vanguard Academy, TX","PK, K-8",nan,nan,B,549,16:1,2019-03-14 09:09:07.792207
Waters Elementary School,"#19,971 Best Public Elementary Schools in America","Lubbock Independent School District, TX","PK, K-5",nan,nan,B,696,17:1,2019-03-14 09:09:07.792214
Mauriceville Elementary School,"#19,973 Best Public Elementary Schools in America","Little Cypress-Mauriceville Consolidated Independent School District, TX","PK, K-5",nan,nan,B,619,13:1,2019-03-14 09:09:07.792221
Fitzgerald Elementary School,"#19,977 Best Public Elementary Schools in America","Arlington Independent School District, TX","PK, K-6",4.0,1,B,557,16:1,2019-03-14 09:09:07.792237
Canutillo Elementary School,"#19,979 Best Public Elementary Schools in America","Canutillo Independent School District, TX","PK, K-5",nan,nan,B,615,16:1,2019-03-14 09:09:07.792244
New Boston High School,"#6,461 Best Public High Schools in America","New Boston Independent School District, TX",9-12,3.5,63,B,380,10:1,2019-03-14 09:09:07.792251
John McKeever Elementary School,"#19,993 Best Public Elementary Schools in America","Pharr-San Juan-Alamo Independent School District, TX","PK, K-5",nan,nan,B,696,17:1,2019-03-14 09:09:07.792258
Rudder Middle School,"#7,663 Best Public Middle Schools in America","Northside Independent School District (San Antonio), TX",6-8,3.0,1,B,"1,061",16:1,2019-03-14 09:09:07.792265
Chandler Elementary School,"#20,002 Best Public Elementary Schools in America","Brownsboro Independent School District, TX","PK, K-3",nan,nan,B,456,17:1,2019-03-14 09:09:07.792272
Hamilton Park Pacesetter Magnet School,"#20,006 Best Public Elementary Schools in America","Richardson Independent School District, TX","PK, K-6",nan,nan,B,677,13:1,2019-03-14 09:09:07.792280
Crockett Elementary School,"#20,007 Best Public Elementary Schools in America","San Marcos Consolidated Independent School District, TX",K-5,nan,nan,B,643,16:1,2019-03-14 09:09:07.792287
University of Texas Elementary Charter School,"#20,008 Best Public Elementary Schools in America","Austin, TX","PK, K-5",4.0,11,B,303,14:1,2019-03-14 09:09:07.792294
Axtell High School,"#6,474 Best Public High Schools in America","Axtell Independent School District, TX",9-12,3.5,27,B,220,10:1,2019-03-14 09:09:07.792301
Memorial Elementary School,"#20,016 Best Public Elementary Schools in America","Weslaco Independent School District, TX","PK, K-5",nan,nan,B,905,17:1,2019-03-14 09:09:07.792308
Elm Creek Elementary School,"#20,017 Best Public Elementary Schools in America","Southwest Independent School District, TX","PK, K-5",2.0,1,B,668,15:1,2019-03-14 09:09:07.792315
Francone Elementary School,"#20,018 Best Public Elementary Schools in America","Cypress-Fairbanks Independent School District, TX","PK, K-5",nan,nan,B,936,14:1,2019-03-14 09:09:07.792321
Brewer Middle School,"#7,682 Best Public Middle Schools in America","White Settlement Independent School District, TX",7-9,4.0,5,B,952,16:1,2019-03-14 09:09:07.792328
Poolville Junior High School,"#7,684 Best Public Middle Schools in America","Poolville Independent School District, TX",6-8,nan,nan,B,119,10:1,2019-03-14 09:09:07.792335
JR (Jackson-Roosevelt) Elementary School,"#20,060 Best Public Elementary Schools in America","Calhoun County Independent School District, TX","PK, K-5",nan,nan,B,989,18:1,2019-03-14 09:09:07.792347
Hamilton High School,"#6,502 Best Public High Schools in America","Hamilton Independent School District, TX",9-12,3.5,30,B,208,10:1,2019-03-14 09:09:07.792355
Thrall Elementary School,"#20,078 Best Public Elementary Schools in America","Thrall Independent School District, TX","PK, K-5",nan,nan,B,289,13:1,2019-03-14 09:09:07.792363
Bruceville-Eddy Junior High School,"#7,703 Best Public Middle Schools in America","Bruceville-Eddy Independent School District, TX",7-8,nan,nan,B,126,10:1,2019-03-14 09:09:07.792370
Robert F. Hunt Elementary School,"#20,100 Best Public Elementary Schools in America","New Diana Independent School District, TX","PK, K-3",nan,nan,B,360,16:1,2019-03-14 09:09:07.792378
Tice Elementary School,"#20,109 Best Public Elementary Schools in America","Galena Park Independent School District, TX","PK, K-5",nan,nan,B,700,16:1,2019-03-14 09:09:07.792384
Nesmith Elementary School,"#20,125 Best Public Elementary Schools in America","Community Independent School District, TX","PK, K-5",nan,nan,B,354,15:1,2019-03-14 09:09:07.792408
Austin Montessori Magnet School,"#20,131 Best Public Elementary Schools in America","Ector County Independent School District, TX","PK, K-5",nan,nan,B,442,16:1,2019-03-14 09:09:07.792416
Farwell Junior High School,"#7,719 Best Public Middle Schools in America","Farwell Independent School District, TX",6-8,nan,nan,B,135,11:1,2019-03-14 09:09:07.792423
Canutillo Middle School,"#7,720 Best Public Middle Schools in America","Canutillo Independent School District, TX",6-8,3.5,2,B,567,12:1,2019-03-14 09:09:07.792430
Krum High School,"#6,540 Best Public High Schools in America","Krum Independent School District, TX",9-12,3.5,68,B,603,14:1,2019-03-14 09:09:07.792436
Lago Vista High School,"#6,541 Best Public High Schools in America","Lago Vista Independent School District, TX",9-12,3.5,117,B,460,14:1,2019-03-14 09:09:07.792443
McAuliffe Elementary School,"#20,162 Best Public Elementary Schools in America","McAllen Independent School District, TX","PK, K-5",nan,nan,B,626,17:1,2019-03-14 09:09:07.792450
Startzville Elementary School,"#20,167 Best Public Elementary Schools in America","Comal Independent School District, TX","PK, K-5",nan,nan,B,449,16:1,2019-03-14 09:09:07.792456
Wilson Elementary School,"#20,183 Best Public Elementary Schools in America","Corpus Christi Independent School District, TX","PK, K-5",nan,nan,B,440,17:1,2019-03-14 09:09:07.792463
Lantrip Elementary School,"#20,184 Best Public Elementary Schools in America","Houston Independent School District, TX","PK, K-5",5.0,6,B,756,17:1,2019-03-14 09:09:07.792470
IDEA Academy - Donna,"#20,185 Best Public Elementary Schools in America","Donna, TX",K-5,4.0,31,B,687,26:1,2019-03-14 09:09:07.792477
Vic Robertson Elementary School,"#20,192 Best Public Elementary Schools in America","Round Rock Independent School District, TX","PK, K-5",nan,nan,B,491,12:1,2019-03-14 09:09:07.792484
Heights Elementary School,"#20,205 Best Public Elementary Schools in America","Laredo Independent School District, TX","PK, K-5",nan,nan,B,548,19:1,2019-03-14 09:09:07.792491
Early College High School,"#6,560 Best Public High Schools in America","Carrollton-Farmers Branch Independent School District, TX",9-12,4.0,58,B,306,26:1,2019-03-14 09:09:07.792498
Union Grove High School,"#6,566 Best Public High Schools in America","Union Grove Independent School District, TX",9-12,3.5,67,B,194,8:1,2019-03-14 09:09:07.792505
Koennecke Elementary School,"#20,211 Best Public Elementary Schools in America","Seguin Independent School District, TX",K-5,5.0,1,B,539,16:1,2019-03-14 09:09:07.792511
Bellville Junior High School,"#7,759 Best Public Middle Schools in America","Bellville Independent School District, TX",6-8,nan,nan,B,526,15:1,2019-03-14 09:09:07.792518
Mineola Middle School,"#7,761 Best Public Middle Schools in America","Mineola Independent School District, TX",6-8,nan,nan,B,345,13:1,2019-03-14 09:09:07.792525
James Bowie Fine Arts Academy,"#20,224 Best Public Elementary Schools in America","Midland Independent School District, TX",K-6,nan,nan,B,467,15:1,2019-03-14 09:09:07.792532
Rains High School,"#6,578 Best Public High Schools in America","Rains Independent School District, TX",9-12,3.5,89,B,490,12:1,2019-03-14 09:09:07.792539
Yoakum Intermediate School,"#20,237 Best Public Elementary Schools in America","Yoakum Independent School District, TX",3-5,nan,nan,B,357,10:1,2019-03-14 09:09:07.792547
Shive Elementary School,"#20,239 Best Public Elementary Schools in America","Vernon Independent School District, TX",4-5,nan,nan,B,344,18:1,2019-03-14 09:09:07.792554
Little Cypress-Mauriceville (LCM) High School,"#6,583 Best Public High Schools in America","Little Cypress-Mauriceville Consolidated Independent School District, TX",9-12,3.5,41,B,"1,050",15:1,2019-03-14 09:09:07.792560
Stewarts Creek Elementary School,"#20,247 Best Public Elementary Schools in America","Lewisville Independent School District, TX","PK, K-5",nan,nan,B,412,13:1,2019-03-14 09:09:07.792569
Kaiser Elementary School,"#20,260 Best Public Elementary Schools in America","Klein Independent School District, TX",K-5,nan,nan,B,804,12:1,2019-03-14 09:09:07.792576
Travis Intermediate School,"#7,776 Best Public Middle Schools in America","Conroe Independent School District, TX",5-6,nan,nan,B,596,16:1,2019-03-14 09:09:07.792583
Pleasant Valley Elementary School,"#20,269 Best Public Elementary Schools in America","Amarillo Independent School District, TX","PK, K-5",nan,nan,B,337,16:1,2019-03-14 09:09:07.792589
Menard Junior High School,"#7,781 Best Public Middle Schools in America","Menard Independent School District, TX",6-8,nan,nan,B,65,11:1,2019-03-14 09:09:07.792596
Blessing Elementary School,"#20,289 Best Public Elementary Schools in America","Tidehaven Independent School District, TX","PK, K-5",nan,nan,B,255,18:1,2019-03-14 09:09:07.792602
Woods Elementary School,"#20,305 Best Public Elementary Schools in America","Tyler Independent School District, TX","PK, K-5",nan,nan,B,693,18:1,2019-03-14 09:09:07.792609
George Washington Middle School,"#7,796 Best Public Middle Schools in America","United Independent School District, TX",6-8,4.5,2,B,"1,383",19:1,2019-03-14 09:09:07.792616
Hemmenway Elementary School,"#20,315 Best Public Elementary Schools in America","Cypress-Fairbanks Independent School District, TX","PK, K-5",nan,nan,B,"1,060",18:1,2019-03-14 09:09:07.792623
Pyburn Elementary School,"#20,316 Best Public Elementary Schools in America","Galena Park Independent School District, TX","PK, K-5",nan,nan,B,649,15:1,2019-03-14 09:09:07.792631
Katherine Stephens Elementary School,"#20,320 Best Public Elementary Schools in America","Garland Independent School District, TX","PK, K-5",nan,nan,B,536,17:1,2019-03-14 09:09:07.792637
Evant High School,"#6,615 Best Public High Schools in America","Evant Independent School District, TX",7-12,5.0,2,B,111,10:1,2019-03-14 09:09:07.792644
Stahl Elementary School,"#20,328 Best Public Elementary Schools in America","North East Independent School District, TX","PK, K-5",nan,nan,B,926,15:1,2019-03-14 09:09:07.792650
Itasca Middle School,"#7,807 Best Public Middle Schools in America","Itasca Independent School District, TX",6-8,nan,nan,B,127,11:1,2019-03-14 09:09:07.792657
Lake Olympia Middle School,"#7,808 Best Public Middle Schools in America","Fort Bend Independent School District, TX",6-8,2.0,4,B,"1,126",15:1,2019-03-14 09:09:07.792663
Westwood High School,"#6,625 Best Public High Schools in America","Westwood Independent School District, TX",9-12,4.0,71,B,438,10:1,2019-03-14 09:09:07.792670
IDEA Academy - San Benito,"#20,348 Best Public Elementary Schools in America","San Benito, TX",K-5,4.0,28,B,715,26:1,2019-03-14 09:09:07.792676
Chireno Elementary School,"#20,349 Best Public Elementary Schools in America","Chireno Independent School District, TX","PK, K-8",nan,nan,B,279,13:1,2019-03-14 09:09:07.792682
Travis Elementary School,"#20,353 Best Public Elementary Schools in America","Pampa Independent School District, TX",K-5,nan,nan,B,389,14:1,2019-03-14 09:09:07.792689
Mae Luster Stephens Junior High School,"#7,816 Best Public Middle Schools in America","Linden-Kildare Consolidated Independent School District, TX",6-8,nan,nan,B,165,10:1,2019-03-14 09:09:07.792696
Sudan Elementary School,"#20,371 Best Public Elementary Schools in America","Sudan Independent School District, TX","PK, K-7",nan,nan,B,299,14:1,2019-03-14 09:09:07.792703
Red Oak Elementary School,"#20,387 Best Public Elementary Schools in America","Red Oak Independent School District, TX","PK, K-5",5.0,1,B,618,17:1,2019-03-14 09:09:07.792711
Central High School,"#6,648 Best Public High Schools in America","Central Independent School District, TX",9-12,3.5,32,B,469,12:1,2019-03-14 09:09:07.792719
Rusk High School,"#6,651 Best Public High Schools in America","Rusk Independent School District, TX",9-12,3.5,28,B,597,14:1,2019-03-14 09:09:07.792727
Copeland Elementary School,"#20,390 Best Public Elementary Schools in America","Huffman Independent School District, TX",2-3,nan,nan,B,508,16:1,2019-03-14 09:09:07.792735
King High School,"#6,654 Best Public High Schools in America","Corpus Christi Independent School District, TX",9-12,3.5,265,B,"1,801",18:1,2019-03-14 09:09:07.792757
Harmony School of Business - Dallas,"#6,658 Best Public High Schools in America","Dallas, TX",6-12,3.0,11,B,894,16:1,2019-03-14 09:09:07.792764
Magnolia Junior High School,"#7,830 Best Public Middle Schools in America","Magnolia Independent School District, TX",6-8,nan,nan,B,"1,522",17:1,2019-03-14 09:09:07.792771
Achziger Elementary School,"#20,426 Best Public Elementary Schools in America","Mesquite Independent School District, TX","PK, K-5",nan,nan,B,917,16:1,2019-03-14 09:09:07.792778
College Street Elementary School,"#20,431 Best Public Elementary Schools in America","Lewisville Independent School District, TX","PK, K-5",nan,nan,B,249,10:1,2019-03-14 09:09:07.792785
Beasley Elementary School,"#20,435 Best Public Elementary Schools in America","Mesquite Independent School District, TX","PK, K-6",nan,nan,B,485,16:1,2019-03-14 09:09:07.792793
Nova Academy Prichard,"#20,441 Best Public Elementary Schools in America","Nova Academy (Southeast), TX",K-8,nan,nan,B,495,16:1,2019-03-14 09:09:07.792800
Becker Elementary School,"#20,442 Best Public Elementary Schools in America","Austin Independent School District, TX","PK, K-5",nan,nan,B,377,13:1,2019-03-14 09:09:07.792807
La Grange Middle School,"#7,856 Best Public Middle Schools in America","La Grange Independent School District, TX",7-8,4.0,1,B,334,13:1,2019-03-14 09:09:07.792814
Lyndon B. Johnson Elementary School,"#20,490 Best Public Elementary Schools in America","Johnson City Independent School District, TX","PK, K-4",nan,nan,B,251,11:1,2019-03-14 09:09:07.792821
Grady School,"#6,687 Best Public High Schools in America","Grady Independent School District, TX","PK, K-12",4.0,17,B,221,10:1,2019-03-14 09:09:07.792828
Life School - Cedar Hill,"#20,500 Best Public Elementary Schools in America","Cedar Hill, TX",K-6,1.5,9,B,646,18:1,2019-03-14 09:09:07.792835
Emmott Elementary School,"#20,505 Best Public Elementary Schools in America","Cypress-Fairbanks Independent School District, TX","PK, K-5",3.5,2,B,864,16:1,2019-03-14 09:09:07.792844
Mims Elementary School,"#20,506 Best Public Elementary Schools in America","Mission Consolidated Independent School District, TX","PK, K-5",5.0,1,B,631,18:1,2019-03-14 09:09:07.792851
Valley View Middle School,"#7,879 Best Public Middle Schools in America","Ysleta Independent School District, TX",6-8,nan,nan,B,712,17:1,2019-03-14 09:09:07.792858
Finley Elementary School,"#20,518 Best Public Elementary Schools in America","United Independent School District, TX","PK, K-5",nan,nan,B,547,17:1,2019-03-14 09:09:07.792865
Whitney High School,"#6,702 Best Public High Schools in America","Whitney Independent School District, TX",9-12,3.5,39,B,417,12:1,2019-03-14 09:09:07.792873
Clark Elementary School,"#20,530 Best Public Elementary Schools in America","United Independent School District, TX","PK, K-5",nan,nan,B,459,13:1,2019-03-14 09:09:07.792880
Louise Junior High School,"#7,887 Best Public Middle Schools in America","Louise Independent School District, TX",6-8,nan,nan,B,116,13:1,2019-03-14 09:09:07.792886
Roby Elementary School,"#20,538 Best Public Elementary Schools in America","Roby Consolidated Independent School District, TX","PK, K-8",nan,nan,B,214,10:1,2019-03-14 09:09:07.792893
Ridglea Hills Elementary School,"#20,540 Best Public Elementary Schools in America","Fort Worth Independent School District, TX","PK, K-5",nan,nan,B,660,17:1,2019-03-14 09:09:07.792900
Rasco Middle School,"#7,893 Best Public Middle Schools in America","Brazosport Independent School District, TX",5-6,nan,nan,B,814,18:1,2019-03-14 09:09:07.792908
Brady Middle School,"#7,900 Best Public Middle Schools in America","Brady Independent School District, TX",6-8,nan,nan,B,270,11:1,2019-03-14 09:09:07.792916
Martins Mill High School,"#6,727 Best Public High Schools in America","Martins Mill Independent School District, TX",7-12,4.0,37,B,238,11:1,2019-03-14 09:09:07.792923
